word,cooc_count,word_count,pmi
一际,9,9,0.04262452574775384
追,9,9,0.04262452574775384
易姓,9,9,0.04262452574775384
辅,9,9,0.04262452574775384
升,9,9,0.04262452574775384
箕子,9,9,0.04262452574775384
其人,9,9,0.04262452574775384
岂可,9,9,0.04262452574775384
上帝,18,19,0.04252546336292484
业,18,19,0.04252546336292484
执,18,19,0.04252546336292484
天人,18,19,0.04252546336292484
莫,18,19,0.04252546336292484
垂,18,19,0.04252546336292484
阳,18,19,0.04252546336292484
不当,18,19,0.04252546336292484
崇,18,19,0.04252546336292484
二女,18,19,0.04252546336292484
拜,27,29,0.04249244105634648
建,27,29,0.04249244105634648
云,126,139,0.04244054733310441
出,70,77,0.03833576128696502
。”,26,28,0.036956797719180895
便,26,28,0.036956797719180895
上六,26,28,0.036956797719180895
盖,86,95,0.03575247757577711
幸,17,18,0.03406971200213347
尤,17,18,0.03406971200213347
叙,17,18,0.03406971200213347
五行,17,18,0.03406971200213347
咸,17,18,0.03406971200213347
可知,17,18,0.03406971200213347
不忍,17,18,0.03406971200213347
利,17,18,0.03406971200213347
敬,17,18,0.03406971200213347
收,17,18,0.03406971200213347
惧,17,18,0.03406971200213347
进士,17,18,0.03406971200213347
朕,34,37,0.03401726466809559
未,59,65,0.032708642842971765
长,25,27,0.031002085838363464
记,25,27,0.031002085838363464
魏,25,27,0.031002085838363464
诏,41,45,0.02846303080897286
所欲,8,8,0.024727382283907105
秦人,8,8,0.024727382283907105
夺,8,8,0.024727382283907105
聪明,8,8,0.024727382283907105
后唐,8,8,0.024727382283907105
马,8,8,0.024727382283907105
未必,8,8,0.024727382283907105
以其,8,8,0.024727382283907105
采,8,8,0.024727382283907105
潜,8,8,0.024727382283907105
野,8,8,0.024727382283907105
婴,8,8,0.024727382283907105
皇矣,8,8,0.024727382283907105
张柬之,8,8,0.024727382283907105
三章,8,8,0.024727382283907105
副,8,8,0.024727382283907105
王师,8,8,0.024727382283907105
封建,8,8,0.024727382283907105
十年,8,8,0.024727382283907105
誓,8,8,0.024727382283907105
更变,8,8,0.024727382283907105
三思,8,8,0.024727382283907105
五帝,8,8,0.024727382283907105
重黎,8,8,0.024727382283907105
朝堂,8,8,0.024727382283907105
大义,8,8,0.024727382283907105
